Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
20:36:19:806,-0.02,0.00,-1.04,0.60,-262.50,-76.70,-93.40,166.85
20:36:20:361,-0.01,-0.02,-1.06,0.61,-262.40,-74.60,-91.00,166.03
20:36:20:915,-0.02,0.03,-1.48,0.85,-262.10,-75.10,-92.40,166.21
20:36:21:469,0.01,-0.08,-1.00,0.58,-263.40,-75.50,-91.90,166.86
20:36:22:023,0.04,-0.04,-1.04,0.60,-263.70,-74.30,-93.70,167.17
20:36:22:577,0.04,-0.03,-0.97,0.56,-262.10,-76.40,-91.60,166.26
20:36:23:131,0.03,-0.01,-1.01,0.58,-264.00,-74.70,-91.50,166.98
20:36:23:685,0.02,-0.01,-1.00,0.58,-261.30,-74.10,-92.80,165.71
20:36:24:239,0.03,-0.01,-1.00,0.58,-263.50,-75.50,-93.20,167.15
20:36:24:793,0.02,-0.01,-0.99,0.57,-261.90,-75.00,-93.10,166.22
20:36:25:347,0.03,-0.01,-0.99,0.57,-262.80,-74.60,-92.80,166.57
20:36:25:901,0.03,-0.01,-1.00,0.58,-262.00,-75.80,-90.30,165.88
20:36:26:455,0.03,-0.01,-1.00,0.58,-263.10,-76.30,-89.80,166.44
20:36:27:010,0.02,-0.02,-0.99,0.57,-262.30,-74.70,-91.80,166.14
20:36:27:563,0.02,-0.01,-0.99,0.57,-262.80,-75.60,-92.10,166.59
20:36:28:117,0.02,-0.01,-1.00,0.58,-262.80,-75.00,-92.90,166.65
20:36:28:671,0.02,-0.01,-0.99,0.57,-263.70,-74.80,-93.50,167.21
20:36:29:226,0.03,-0.01,-1.00,0.58,-263.20,-75.20,-90.70,166.49
20:36:29:779,0.02,-0.01,-0.99,0.57,-263.00,-75.60,-93.20,166.90
20:36:30:334,0.03,-0.01,-1.00,0.58,-263.00,-73.70,-90.70,166.16
20:36:30:888,0.03,-0.01,-1.00,0.58,-263.60,-75.10,-92.00,166.92
20:36:31:441,0.03,-0.01,-1.00,0.58,-263.90,-74.70,-92.70,167.15
20:36:31:996,0.03,-0.01,-1.00,0.58,-263.00,-76.30,-92.20,166.82
20:36:32:550,0.02,-0.02,-1.00,0.58,-261.80,-77.10,-91.50,166.19
20:36:33:103,0.04,-0.02,-1.05,0.60,-263.90,-73.10,-91.30,166.66
20:36:33:658,0.02,-0.01,-1.00,0.58,-263.00,-75.10,-90.40,166.31
20:36:34:212,0.02,-0.02,-0.98,0.57,-263.80,-75.30,-92.80,167.20
20:36:34:766,0.03,-0.01,-1.00,0.58,-262.60,-75.40,-89.60,166.00
20:36:35:320,0.03,-0.01,-0.98,0.57,-263.10,-76.00,-92.10,166.81
20:36:35:873,0.03,-0.02,-1.00,0.58,-263.60,-74.30,-93.00,166.99
20:36:36:428,0.03,-0.01,-0.99,0.57,-262.90,-75.70,-90.90,166.44
20:36:36:982,0.03,-0.00,-1.01,0.58,-262.00,-75.10,-91.90,166.06
20:36:37:536,0.01,-0.02,-1.01,0.58,-262.30,-76.50,-93.20,166.67
20:36:38:090,0.01,-0.04,-1.08,0.62,-266.90,-73.50,-92.00,168.43
20:36:38:644,0.03,-0.04,-1.05,0.61,-268.30,-72.70,-93.80,169.38
20:36:39:198,0.03,-0.04,-0.98,0.57,-270.10,-72.90,-92.20,170.07
20:36:39:753,-0.01,-0.03,-1.03,0.59,-268.00,-72.40,-91.70,168.79
20:36:40:307,0.01,-0.03,-0.99,0.57,-268.20,-73.00,-92.80,169.19
20:36:40:861,0.02,-0.08,-0.98,0.57,-270.00,-72.20,-91.60,169.81
20:36:41:415,0.03,-0.03,-0.94,0.54,-268.10,-72.60,-92.70,169.06
20:36:41:969,0.03,-0.02,-1.00,0.58,-272.20,-72.90,-90.60,170.90
20:36:42:523,0.02,-0.03,-0.99,0.57,-272.50,-72.10,-93.60,171.48
20:36:43:077,0.03,-0.02,-0.99,0.57,-272.60,-70.60,-91.90,171.02
20:36:43:631,0.01,-0.03,-1.01,0.58,-270.00,-71.60,-92.00,169.79
20:36:44:185,0.01,-0.02,-0.99,0.57,-265.20,-72.90,-91.50,167.35
20:36:44:739,0.04,-0.01,-0.99,0.57,-267.00,-74.80,-90.80,168.45
20:36:45:293,0.02,-0.02,-0.99,0.57,-271.60,-72.40,-91.80,170.72
20:36:45:847,0.02,-0.01,-1.00,0.57,-269.30,-74.30,-92.60,169.92
20:36:46:401,0.02,-0.01,-1.02,0.59,-268.20,-72.30,-92.10,168.96
20:36:46:955,0.03,-0.01,-1.00,0.58,-269.30,-72.80,-94.40,170.03
20:36:47:509,0.03,-0.01,-1.00,0.58,-270.20,-72.30,-92.60,170.11
20:36:48:063,0.03,-0.01,-0.99,0.57,-269.50,-72.30,-95.20,170.22
20:36:48:617,0.05,-0.03,-0.96,0.55,-264.40,-73.60,-92.40,167.19
20:36:49:171,0.03,-0.01,-0.98,0.57,-263.30,-73.70,-93.70,166.87
20:36:49:725,0.03,-0.02,-1.00,0.58,-263.20,-73.70,-92.60,166.61
20:36:50:279,0.03,-0.01,-1.00,0.58,-264.30,-73.90,-91.70,167.06
20:36:50:833,0.02,-0.02,-0.96,0.55,-265.70,-74.60,-91.60,167.88
20:36:51:387,0.01,-0.03,-0.98,0.57,-265.60,-73.50,-92.90,167.90
20:36:51:940,0.03,0.15,-0.89,0.52,-263.70,-74.50,-92.20,166.92
20:36:52:494,0.03,-0.02,-0.99,0.57,-263.20,-74.70,-92.80,166.80
20:36:53:048,0.03,-0.01,-0.99,0.57,-264.40,-74.40,-93.50,167.52
20:36:53:602,0.02,-0.01,-0.99,0.57,-263.40,-74.10,-92.10,166.69
20:36:54:156,0.03,-0.01,-1.00,0.58,-264.50,-74.00,-91.20,167.09
20:36:54:710,-0.00,0.03,-1.03,0.60,-265.40,-73.30,-93.10,167.81
20:36:55:263,0.03,0.00,-1.03,0.60,-263.50,-73.50,-92.60,166.74
20:36:55:817,0.03,-0.02,-1.01,0.58,-263.30,-73.60,-92.40,166.61
20:36:56:371,0.01,-0.06,-1.01,0.58,-263.90,-73.60,-93.10,167.06
20:36:56:925,0.01,-0.11,-1.00,0.58,-264.90,-73.70,-92.90,167.57
20:36:57:479,0.05,-0.09,-0.97,0.57,-265.00,-74.30,-92.40,167.61
20:36:58:033,0.03,-0.02,-1.00,0.58,-260.30,-74.20,-91.80,165.01
20:36:58:587,0.03,-0.01,-1.00,0.58,-264.30,-74.60,-92.10,167.23
20:36:59:141,0.03,-0.01,-0.99,0.57,-263.90,-73.90,-89.00,166.36
20:36:59:696,-0.01,-0.01,-0.97,0.56,-263.70,-74.70,-92.80,167.06
20:37:00:250,0.03,-0.02,-0.99,0.57,-263.60,-76.40,-92.60,167.23
20:37:00:804,0.03,-0.01,-1.00,0.58,-264.20,-74.80,-92.70,167.32
20:37:01:358,0.03,-0.02,-0.99,0.57,-262.30,-76.70,-91.70,166.43
20:37:01:912,0.03,-0.01,-1.00,0.58,-262.50,-74.20,-94.40,166.66
20:37:02:466,0.03,-0.02,-1.00,0.58,-262.20,-74.90,-90.60,165.90
20:37:03:022,0.03,-0.08,-0.99,0.57,-262.20,-74.80,-93.30,166.38
20:37:03:574,0.04,-0.11,-0.96,0.56,-263.60,-74.20,-91.20,166.64
20:37:04:128,0.06,-0.23,-0.94,0.56,-262.60,-74.80,-92.70,166.48
20:37:04:682,0.03,-0.12,-1.01,0.59,-264.00,-75.10,-92.20,167.17
20:37:05:236,0.05,-0.13,-1.03,0.60,-264.10,-74.20,-93.10,167.25
20:37:05:790,0.04,-0.15,-0.97,0.56,-264.10,-74.80,-92.60,167.25
20:37:06:344,0.06,-0.05,-1.03,0.60,-264.70,-75.10,-92.80,167.65
20:37:06:898,0.04,-0.08,-1.03,0.60,-263.20,-74.30,-92.10,166.61
20:37:07:452,0.04,-0.14,-0.96,0.56,-263.40,-73.90,-89.60,166.20
20:37:08:006,0.04,-0.09,-0.97,0.56,-262.70,-74.50,-92.70,166.49
20:37:08:560,0.04,-0.07,-0.96,0.56,-262.50,-75.70,-89.80,166.03
20:37:09:114,0.02,-0.00,-1.00,0.58,-261.60,-76.70,-91.40,166.00
20:37:09:669,-0.00,-0.14,-1.00,0.58,-261.20,-73.70,-92.60,165.56
20:37:10:222,0.04,0.18,-0.96,0.56,-262.10,-75.20,-95.20,166.75
20:37:10:776,0.03,-0.03,-0.98,0.57,-264.10,-73.70,-93.90,167.33
20:37:11:330,0.10,-0.04,-0.95,0.55,-263.50,-74.00,-91.00,166.52
20:37:11:883,0.03,0.15,-1.01,0.59,-263.20,-75.90,-91.40,166.72
20:37:12:437,0.03,-0.01,-1.00,0.58,-261.90,-73.90,-91.40,165.74
20:37:12:991,0.03,-0.01,-1.00,0.58,-263.90,-74.90,-90.70,166.81
20:37:13:545,0.02,-0.01,-0.99,0.57,-264.00,-75.00,-92.50,167.21
20:37:14:099,0.02,-0.00,-0.96,0.56,-264.30,-75.60,-93.70,167.68
20:37:14:653,0.01,-0.02,-1.00,0.58,-263.10,-75.10,-93.20,166.88
20:37:15:207,-0.01,0.01,-1.01,0.58,-261.30,-74.00,-93.40,165.81
20:37:15:762,-0.00,-0.02,-1.02,0.59,-263.60,-74.90,-92.30,166.95
20:37:16:316,0.02,-0.02,-1.01,0.59,-265.80,-73.50,-97.30,168.84
20:37:16:870,0.03,-0.03,-1.02,0.59,-265.20,-75.20,-91.10,167.62
20:37:17:424,0.01,-0.21,-1.03,0.61,-265.10,-74.60,-92.80,167.78
20:37:17:979,-0.00,-0.04,-0.98,0.57,-266.00,-74.20,-92.70,168.18
20:37:18:532,0.03,0.06,-1.02,0.59,-265.90,-75.00,-92.00,168.12
20:37:19:085,0.06,0.23,-1.01,0.60,-266.90,-74.30,-89.70,168.13
20:37:19:638,0.08,0.11,-0.99,0.58,-265.60,-73.90,-92.00,167.80
20:37:20:192,0.03,-0.18,-1.00,0.59,-266.10,-73.80,-93.90,168.40
20:37:20:745,0.01,0.00,-0.99,0.57,-266.80,-75.30,-92.90,168.80
20:37:21:299,0.02,-0.02,-0.98,0.57,-263.20,-72.20,-92.60,166.39
20:37:21:853,0.03,-0.01,-0.99,0.57,-264.30,-72.20,-91.40,166.75
20:37:22:407,0.03,-0.01,-1.00,0.58,-264.30,-73.80,-92.20,167.13
20:37:22:961,0.03,-0.01,-0.99,0.57,-263.90,-72.20,-92.50,166.75
20:37:23:515,0.03,-0.01,-1.00,0.58,-261.90,-74.40,-91.40,165.81
20:37:24:069,0.03,-0.01,-1.00,0.58,-265.70,-73.90,-91.20,167.71
20:37:24:623,0.03,-0.01,-1.00,0.58,-265.40,-73.70,-91.90,167.64
20:37:25:177,0.03,-0.01,-1.00,0.58,-263.50,-72.50,-93.70,166.80
20:37:25:731,0.02,-0.01,-1.01,0.58,-264.80,-73.00,-92.50,167.34
20:37:26:285,0.03,-0.01,-1.00,0.57,-265.20,-72.60,-92.50,167.49
20:37:26:839,0.04,-0.01,-1.00,0.58,-264.90,-71.90,-93.60,167.43
20:37:27:394,-0.00,-0.01,-1.01,0.58,-266.10,-70.40,-91.70,167.51
20:37:27:948,0.29,-0.07,-0.91,0.55,-266.40,-71.70,-89.20,167.40
20:37:28:502,0.18,-0.02,-1.00,0.59,-266.00,-73.00,-92.90,168.04
20:37:29:056,0.02,-0.05,-1.04,0.60,-266.10,-71.80,-91.80,167.72
20:37:29:611,-0.02,-0.03,-0.94,0.54,-266.10,-72.70,-92.70,168.02
20:37:30:165,-0.00,0.02,-1.05,0.61,-264.10,-71.50,-91.40,166.55
20:37:30:719,0.03,-0.01,-0.99,0.57,-265.60,-72.90,-91.90,167.63
20:37:31:273,0.03,-0.01,-1.00,0.58,-264.30,-72.80,-91.40,166.84
20:37:31:827,0.02,-0.02,-1.00,0.58,-264.20,-72.90,-93.80,167.25
20:37:32:381,0.03,-0.01,-1.00,0.58,-265.70,-72.40,-91.40,167.52
20:37:32:935,0.03,-0.01,-0.99,0.57,-265.30,-72.10,-92.70,167.51
20:37:33:489,0.03,-0.01,-1.00,0.58,-265.50,-72.00,-90.90,167.27
20:37:34:049,0.02,-0.00,-1.01,0.58,-265.30,-72.80,-91.60,167.41
20:37:34:639,0.02,-0.01,-1.00,0.58,-265.30,-72.30,-93.20,167.63
20:37:35:170,0.03,-0.02,-0.99,0.57,-265.20,-71.40,-92.70,167.35
20:37:35:705,0.03,-0.02,-1.00,0.58,-264.70,-71.20,-92.80,167.08
20:37:36:259,0.02,-0.01,-0.99,0.57,-264.90,-71.30,-93.10,167.26
20:37:36:813,0.03,-0.01,-1.00,0.58,-265.60,-72.20,-93.10,167.75
20:37:37:367,0.02,-0.01,-0.99,0.57,-265.40,-73.10,-91.70,167.52
20:37:37:921,0.00,-0.03,-0.93,0.54,-265.80,-72.30,-94.50,168.13
20:37:38:475,0.02,-0.01,-0.99,0.57,-264.00,-72.80,-94.10,167.18
20:37:39:029,0.02,-0.01,-1.00,0.58,-265.80,-72.20,-92.50,167.75
20:37:39:583,0.03,-0.01,-0.99,0.57,-265.20,-71.90,-93.30,167.54
20:37:40:137,0.03,-0.01,-1.00,0.58,-263.40,-72.90,-93.30,166.73
20:37:40:691,0.03,-0.01,-1.00,0.58,-265.30,-71.50,-92.90,167.46
20:37:41:245,0.03,-0.01,-1.00,0.57,-265.90,-73.90,-95.30,168.57
20:37:41:799,0.02,-0.01,-1.00,0.58,-266.00,-72.60,-93.50,168.10
20:37:42:353,0.03,-0.02,-0.99,0.57,-264.60,-72.50,-93.30,167.31
20:37:42:907,0.03,-0.01,-1.00,0.58,-264.10,-71.70,-93.30,166.93
20:37:43:461,0.03,-0.01,-0.99,0.57,-265.70,-72.60,-92.60,167.77
20:37:44:016,0.03,-0.01,-0.99,0.57,-263.30,-71.20,-92.40,166.27
20:37:44:569,0.03,-0.02,-0.99,0.57,-265.10,-71.70,-92.40,167.29
20:37:45:123,0.03,-0.01,-0.99,0.57,-265.20,-72.90,-93.70,167.75
20:37:45:677,0.03,-0.02,-0.99,0.57,-266.20,-72.00,-94.70,168.34
20:37:46:231,0.03,-0.01,-0.99,0.57,-266.50,-73.70,-93.60,168.54
20:37:46:785,0.03,-0.01,-1.00,0.58,-266.60,-72.80,-91.70,168.11
20:37:47:339,0.03,-0.02,-0.99,0.57,-264.90,-71.70,-91.40,167.00
20:37:47:893,0.03,-0.01,-0.99,0.57,-266.20,-73.90,-93.80,168.45
20:37:48:447,0.03,-0.01,-0.99,0.57,-265.00,-71.50,-94.20,167.54
20:37:49:001,0.03,-0.01,-0.99,0.57,-263.50,-72.90,-91.60,166.47
20:37:49:558,0.03,-0.01,-1.00,0.58,-264.20,-73.40,-93.00,167.17
20:37:50:109,0.03,-0.01,-0.99,0.57,-265.80,-71.70,-90.40,167.29
20:37:50:663,0.03,-0.01,-1.00,0.58,-265.90,-72.30,-92.20,167.76
20:37:51:217,0.03,-0.01,-0.99,0.57,-265.00,-73.10,-91.00,167.18
20:37:51:771,0.03,-0.02,-1.00,0.58,-264.40,-72.70,-92.10,167.01
20:37:52:325,0.03,-0.01,-0.99,0.57,-266.20,-71.80,-91.80,167.77
20:37:52:879,0.02,-0.02,-0.99,0.57,-264.50,-71.20,-91.90,166.81
20:37:53:433,0.03,-0.02,-0.99,0.57,-265.30,-72.30,-92.80,167.55
20:37:53:987,0.03,-0.02,-1.00,0.58,-265.40,-73.10,-94.00,167.95
20:37:54:541,0.03,-0.01,-0.99,0.57,-265.60,-73.60,-93.60,168.05
20:37:55:095,0.03,-0.01,-1.00,0.58,-266.30,-71.60,-90.90,167.64
20:37:55:649,0.03,-0.01,-0.99,0.57,-263.80,-73.40,-91.70,166.72
20:37:56:203,0.03,-0.02,-1.00,0.58,-265.90,-72.20,-91.90,167.69
20:37:56:757,0.03,-0.01,-0.99,0.57,-266.50,-71.50,-93.20,168.15
20:37:57:311,0.03,-0.01,-0.99,0.57,-264.50,-72.20,-91.20,166.82
20:37:57:865,0.03,-0.01,-0.99,0.57,-264.90,-72.80,-93.40,167.53
20:37:58:419,0.03,-0.02,-0.99,0.57,-264.50,-73.20,-89.00,166.57
20:37:58:973,0.03,-0.01,-0.99,0.57,-265.90,-71.10,-92.40,167.63
20:37:59:527,0.03,-0.02,-1.00,0.58,-264.60,-73.20,-91.50,167.08
20:38:00:083,0.03,-0.01,-1.00,0.58,-265.30,-75.30,-90.00,167.49
20:38:00:635,0.03,-0.01,-0.99,0.57,-266.00,-72.50,-94.30,168.23
20:38:01:190,0.03,-0.01,-1.00,0.58,-264.50,-70.50,-93.50,167.01
20:38:01:743,0.03,-0.01,-0.99,0.57,-264.60,-72.30,-92.40,167.11
20:38:02:297,0.03,-0.01,-1.00,0.58,-264.80,-72.00,-91.20,166.95
20:38:02:852,0.03,-0.01,-0.99,0.57,-265.70,-72.30,-92.30,167.67
20:38:03:405,0.03,-0.01,-0.99,0.57,-265.20,-71.90,-92.30,167.35
20:38:03:959,0.03,-0.01,-0.99,0.57,-263.50,-71.10,-94.70,166.79
20:38:04:514,0.03,-0.01,-0.99,0.57,-266.10,-71.30,-91.20,167.54
20:38:05:067,0.03,-0.01,-0.99,0.57,-264.50,-72.40,-93.30,167.24
20:38:05:622,0.03,-0.01,-0.99,0.57,-264.80,-71.50,-92.90,167.19
20:38:06:176,0.03,-0.01,-0.99,0.57,-264.40,-72.50,-92.20,167.00
20:38:06:730,0.03,-0.01,-0.99,0.57,-266.00,-71.80,-88.70,167.11
20:38:07:284,0.03,-0.00,-1.00,0.58,-263.40,-71.20,-92.60,166.36
20:38:07:838,0.03,-0.01,-0.99,0.57,-265.50,-71.40,-91.20,167.24
20:38:08:392,0.03,-0.01,-1.00,0.58,-265.50,-71.70,-90.50,167.15
20:38:08:946,0.03,-0.01,-0.99,0.57,-264.30,-72.40,-91.30,166.77
20:38:09:500,0.03,-0.01,-0.99,0.57,-265.80,-71.10,-92.10,167.52
20:38:10:054,0.03,-0.01,-1.00,0.58,-265.00,-72.50,-92.00,167.28
20:38:10:608,0.03,-0.01,-0.99,0.57,-265.70,-72.80,-93.20,167.91
20:38:11:162,0.03,-0.01,-0.99,0.57,-266.90,-71.80,-92.30,168.24
20:38:11:716,0.03,-0.01,-1.00,0.58,-265.30,-73.10,-92.60,167.63
20:38:12:270,0.02,-0.02,-1.00,0.58,-265.40,-72.20,-91.20,167.30
20:38:12:824,0.03,-0.01,-1.00,0.58,-265.10,-71.80,-91.60,167.16
20:38:13:378,0.03,-0.01,-0.99,0.57,-264.30,-71.60,-95.50,167.43
20:38:13:932,0.03,-0.01,-1.00,0.58,-264.70,-72.20,-94.20,167.48
20:38:14:486,0.03,-0.02,-1.00,0.58,-265.40,-71.50,-96.10,168.11
20:38:15:040,0.03,-0.01,-0.99,0.57,-264.90,-70.80,-92.10,167.00
20:38:15:594,0.02,-0.01,-0.99,0.57,-264.40,-72.00,-93.20,167.11
20:38:16:148,0.03,-0.01,-1.00,0.58,-266.00,-71.90,-91.30,167.59
20:38:16:702,0.03,-0.01,-0.99,0.57,-264.10,-71.60,-93.70,166.99
20:38:17:256,0.03,-0.01,-1.00,0.58,-266.20,-71.20,-91.20,167.58
20:38:17:810,0.03,-0.02,-1.00,0.58,-265.50,-70.70,-90.30,166.98
20:38:18:364,0.03,-0.01,-0.99,0.57,-265.50,-72.20,-93.90,167.85
20:38:18:918,0.03,-0.01,-1.00,0.58,-263.70,-72.40,-91.40,166.47
20:38:19:472,0.03,-0.01,-1.00,0.58,-266.20,-72.40,-91.70,167.84
20:38:20:026,0.03,-0.02,-0.99,0.57,-264.80,-72.40,-93.80,167.49
20:38:20:580,0.03,-0.01,-0.99,0.57,-266.00,-71.80,-92.90,167.87
20:38:21:134,0.03,-0.01,-1.00,0.58,-266.00,-71.70,-91.60,167.62
20:38:21:688,0.03,-0.01,-1.00,0.58,-265.40,-72.60,-92.30,167.56
20:38:22:242,0.03,-0.01,-0.99,0.57,-264.50,-71.50,-91.90,166.85
20:38:22:796,0.03,-0.01,-1.00,0.58,-264.40,-70.70,-91.60,166.63
20:38:23:350,0.03,-0.01,-0.99,0.57,-265.60,-72.30,-93.70,167.88
20:38:23:904,0.03,-0.01,-0.99,0.57,-265.20,-72.60,-92.30,167.45
20:38:24:458,0.03,-0.01,-1.00,0.58,-265.00,-72.70,-94.30,167.73
20:38:25:012,0.03,-0.02,-0.99,0.57,-264.10,-72.40,-93.70,167.10
20:38:25:566,0.03,-0.01,-0.99,0.57,-265.20,-72.90,-93.90,167.79
20:38:26:120,0.02,-0.01,-0.99,0.57,-264.80,-71.50,-92.60,167.14
20:38:26:674,0.03,-0.01,-1.00,0.58,-264.30,-71.80,-93.60,167.10
20:38:27:228,0.03,-0.02,-0.98,0.56,-264.20,-73.60,-92.80,167.16
20:38:27:782,0.03,-0.01,-0.99,0.57,-264.30,-73.10,-94.00,167.37
20:38:28:336,0.03,-0.02,-1.00,0.58,-265.50,-72.40,-93.20,167.75
20:38:28:890,0.03,-0.01,-1.00,0.58,-265.40,-73.60,-92.20,167.69
20:38:29:444,0.03,-0.01,-0.99,0.57,-264.80,-71.70,-95.10,167.63
20:38:29:998,0.03,-0.01,-0.99,0.57,-263.40,-72.20,-91.30,166.26
20:38:30:552,0.02,-0.01,-1.00,0.57,-264.90,-72.70,-92.40,167.33
20:38:31:106,0.03,-0.01,-1.00,0.58,-264.10,-72.60,-92.70,166.95
20:38:31:660,0.03,-0.01,-0.99,0.57,-264.50,-71.50,-93.60,167.17
20:38:32:214,0.03,-0.01,-0.99,0.57,-264.70,-72.50,-91.10,166.95
20:38:32:768,0.03,-0.01,-1.00,0.58,-264.30,-73.00,-93.20,167.20
20:38:33:322,0.03,-0.01,-0.99,0.57,-266.50,-72.10,-93.70,168.33
20:38:33:876,0.03,-0.01,-1.00,0.58,-265.50,-72.60,-90.50,167.28
20:38:34:430,0.03,-0.01,-1.00,0.58,-265.00,-71.60,-92.70,167.28
20:38:34:984,0.03,-0.01,-0.99,0.57,-266.40,-71.40,-92.50,167.95
20:38:35:538,0.03,-0.01,-0.99,0.57,-266.20,-70.50,-91.80,167.59
20:38:36:092,0.03,-0.01,-1.00,0.58,-266.30,-72.40,-93.00,168.13
20:38:36:646,0.03,-0.01,-1.00,0.57,-266.50,-72.00,-94.20,168.40
20:38:37:200,0.02,-0.01,-0.99,0.57,-265.90,-72.20,-94.70,168.21
20:38:37:754,0.03,-0.01,-0.99,0.57,-265.00,-72.00,-95.00,167.76
20:38:38:308,0.03,-0.02,-0.99,0.57,-265.00,-71.60,-92.00,167.15
20:38:38:862,0.03,-0.01,-0.99,0.57,-265.60,-72.50,-91.80,167.56
20:38:39:417,0.02,-0.01,-0.99,0.57,-265.60,-72.70,-93.00,167.81
20:38:39:970,0.03,-0.01,-1.00,0.58,-265.30,-71.30,-90.90,167.06
20:38:40:524,0.03,-0.01,-0.99,0.57,-264.30,-71.40,-93.40,167.01
20:38:41:078,0.03,-0.01,-1.00,0.58,-263.90,-71.90,-91.20,166.46
20:38:41:632,0.03,-0.01,-0.99,0.57,-263.90,-71.80,-92.80,166.74
20:38:42:186,0.03,-0.01,-0.99,0.57,-266.10,-71.70,-92.20,167.78
20:38:42:740,0.03,-0.01,-0.99,0.57,-265.30,-73.00,-94.00,167.88
20:38:43:294,0.03,-0.01,-1.00,0.58,-265.20,-72.80,-91.60,167.35
20:38:43:848,0.03,-0.01,-1.00,0.58,-264.20,-73.00,-92.90,167.09
20:38:44:402,0.03,-0.01,-0.99,0.57,-265.60,-72.90,-92.80,167.80
20:38:44:956,0.03,-0.01,-0.99,0.57,-266.10,-72.30,-92.60,167.94
20:38:45:510,0.03,-0.01,-0.99,0.57,-265.90,-72.50,-94.30,168.18
20:38:46:064,0.03,-0.01,-0.99,0.57,-264.90,-72.00,-94.10,167.54
20:38:46:622,0.03,-0.01,-0.99,0.57,-264.00,-71.30,-92.60,166.69
20:38:47:172,0.02,-0.01,-0.99,0.57,-265.30,-72.20,-91.60,167.32
20:38:47:726,0.02,-0.01,-1.00,0.58,-265.70,-73.20,-92.50,167.84
20:38:48:280,0.03,-0.01,-0.99,0.57,-264.90,-73.50,-93.90,167.72
