Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
20:13:19:675,0.02,-0.01,-0.99,0.57,-255.10,-79.60,-90.10,162.82
20:13:20:229,0.02,-0.01,-1.00,0.58,-254.60,-79.20,-90.80,162.62
20:13:20:783,0.02,-0.02,-0.99,0.57,-255.60,-78.70,-91.90,163.27
20:13:21:337,0.02,-0.02,-1.00,0.58,-256.40,-78.10,-90.70,163.37
20:13:21:891,0.02,-0.01,-1.00,0.58,-256.60,-79.90,-92.10,164.02
20:13:22:445,0.02,-0.02,-0.99,0.57,-254.10,-79.00,-91.50,162.46
20:13:22:999,0.02,-0.01,-0.99,0.57,-254.30,-79.00,-93.40,162.92
20:13:23:554,0.03,-0.01,-0.99,0.57,-255.30,-78.90,-92.90,163.33
20:13:24:107,0.02,-0.01,-0.99,0.57,-255.90,-79.10,-91.90,163.49
20:13:24:661,0.02,-0.01,-0.99,0.57,-255.30,-80.40,-91.00,163.22
20:13:25:215,0.02,-0.01,-1.00,0.58,-254.80,-79.50,-90.10,162.65
20:13:25:769,0.03,-0.01,-0.99,0.57,-254.60,-79.30,-92.30,162.92
20:13:26:323,0.02,-0.01,-1.00,0.57,-257.30,-79.30,-91.50,164.18
20:13:26:877,0.02,-0.01,-0.99,0.57,-255.40,-79.20,-93.20,163.49
20:13:27:431,0.03,-0.02,-1.00,0.58,-256.80,-78.90,-92.70,164.08
20:13:27:985,0.02,-0.01,-0.99,0.57,-255.90,-79.10,-93.00,163.70
20:13:28:539,0.02,-0.01,-1.00,0.58,-255.90,-80.20,-91.50,163.59
20:13:29:093,0.02,-0.01,-0.99,0.57,-255.20,-78.70,-91.60,163.00
20:13:29:647,0.02,-0.01,-0.99,0.57,-256.30,-78.00,-93.00,163.73
20:13:30:201,0.02,-0.01,-0.99,0.57,-254.40,-79.60,-91.40,162.70
20:13:30:755,0.02,-0.01,-0.99,0.57,-257.30,-78.60,-94.10,164.56
20:13:31:309,0.03,-0.01,-0.99,0.57,-255.40,-78.80,-90.70,162.96
20:13:31:863,0.02,-0.01,-0.99,0.57,-255.60,-79.30,-94.00,163.76
20:13:32:417,0.02,-0.01,-0.99,0.57,-256.00,-78.90,-90.90,163.32
20:13:32:971,0.03,-0.01,-1.00,0.58,-255.00,-78.10,-92.30,162.94
20:13:33:525,0.02,-0.01,-0.99,0.57,-255.10,-76.70,-90.00,162.34
20:13:34:079,0.02,-0.01,-0.99,0.57,-254.90,-78.00,-90.20,162.47
20:13:34:637,0.02,-0.01,-0.99,0.57,-256.20,-78.80,-94.80,164.15
20:13:35:187,0.03,-0.01,-0.99,0.57,-256.00,-79.90,-91.30,163.56
20:13:35:741,0.02,-0.01,-1.00,0.58,-254.90,-79.50,-91.30,162.92
20:13:36:295,0.03,-0.01,-0.99,0.57,-255.50,-79.20,-92.10,163.34
20:13:36:849,0.02,-0.02,-1.00,0.58,-255.70,-77.20,-92.50,163.20
20:13:37:403,0.02,-0.01,-1.00,0.58,-254.30,-78.10,-93.20,162.74
20:13:37:957,0.02,-0.01,-0.99,0.57,-255.70,-77.60,-91.90,163.15
20:13:38:511,0.02,-0.02,-0.99,0.57,-256.10,-78.50,-92.10,163.54
20:13:39:065,0.02,-0.01,-1.00,0.58,-254.60,-78.30,-91.90,162.68
20:13:39:619,0.02,-0.01,-0.99,0.57,-255.50,-80.20,-92.30,163.54
20:13:40:173,0.03,-0.01,-0.99,0.57,-256.10,-79.00,-91.20,163.45
20:13:40:727,0.02,-0.02,-0.99,0.57,-255.40,-78.70,-91.10,163.02
20:13:41:281,0.03,-0.01,-0.99,0.57,-255.40,-78.10,-94.00,163.47
20:13:41:835,0.02,-0.02,-1.00,0.58,-256.30,-77.10,-90.10,163.05
20:13:42:389,0.02,-0.01,-0.99,0.57,-255.90,-78.40,-90.00,163.02
20:13:42:943,0.02,-0.02,-1.01,0.58,-254.70,-78.10,-90.30,162.40
20:13:43:497,0.03,-0.01,-1.00,0.57,-256.70,-78.50,-91.70,163.77
20:13:44:051,0.03,-0.01,-0.99,0.57,-255.40,-81.20,-89.60,163.15
20:13:44:605,0.02,-0.01,-1.00,0.58,-256.00,-78.10,-91.70,163.34
20:13:45:162,0.02,-0.01,-1.00,0.58,-255.80,-80.20,-94.60,164.13
20:13:45:713,0.03,-0.01,-1.00,0.58,-256.00,-80.30,-94.80,164.29
20:13:46:267,0.02,-0.01,-0.99,0.57,-255.10,-79.00,-91.90,163.06
20:13:46:821,0.02,-0.01,-1.00,0.57,-255.80,-77.90,-92.90,163.43
20:13:47:375,0.02,-0.01,-1.00,0.58,-255.40,-79.60,-90.40,163.03
20:13:47:929,0.02,-0.02,-0.99,0.57,-255.80,-79.10,-91.50,163.36
20:13:48:483,0.02,-0.01,-1.00,0.58,-256.10,-79.20,-93.00,163.82
20:13:49:037,0.02,-0.01,-0.99,0.57,-254.00,-81.30,-90.70,162.64
20:13:49:591,0.03,-0.01,-0.99,0.57,-254.50,-78.90,-91.80,162.71
20:13:50:145,0.02,-0.01,-0.99,0.57,-254.10,-79.20,-92.60,162.70
20:13:50:699,0.02,-0.01,-1.00,0.58,-254.70,-79.20,-89.20,162.38
20:13:51:254,0.02,-0.01,-1.00,0.58,-256.00,-79.40,-89.40,163.13
20:13:51:807,0.02,-0.01,-0.99,0.57,-254.60,-79.50,-91.30,162.76
20:13:52:361,0.03,-0.01,-0.99,0.57,-255.70,-79.20,-93.20,163.65
20:13:52:915,0.02,-0.01,-1.00,0.58,-253.60,-79.50,-91.10,162.21
20:13:53:470,0.03,-0.00,-1.08,0.62,-256.40,-80.70,-90.40,163.73
20:13:54:023,0.03,-0.01,-1.00,0.58,-254.50,-78.90,-93.50,163.03
20:13:54:577,0.02,-0.01,-0.99,0.57,-255.10,-80.20,-92.10,163.29
20:13:55:132,0.02,-0.01,-0.99,0.57,-255.20,-79.20,-92.30,163.22
20:13:55:690,0.02,-0.01,-1.00,0.58,-255.90,-79.40,-90.40,163.26
20:13:56:240,0.02,-0.02,-1.00,0.57,-256.10,-80.40,-90.20,163.49
20:13:56:794,0.02,-0.01,-0.99,0.57,-255.90,-79.90,-92.30,163.69
20:13:57:347,0.02,-0.02,-1.00,0.58,-255.90,-79.30,-96.30,164.36
20:13:57:902,0.02,-0.00,-1.00,0.58,-255.70,-79.00,-91.90,163.37
20:13:58:456,0.02,-0.01,-0.99,0.57,-253.50,-79.10,-90.90,162.05
20:13:59:010,0.02,-0.01,-0.99,0.57,-254.60,-79.70,-91.60,162.85
20:13:59:564,0.02,-0.01,-0.99,0.57,-255.90,-79.10,-91.60,163.43
20:14:00:118,0.02,-0.01,-0.98,0.57,-256.00,-78.10,-91.40,163.29
20:14:00:672,0.02,-0.02,-1.01,0.58,-255.80,-80.50,-90.50,163.41
20:14:01:226,0.02,-0.01,-1.00,0.58,-255.10,-79.60,-90.40,162.87
20:14:01:780,0.02,-0.01,-1.00,0.58,-256.10,-77.80,-91.90,163.39
20:14:02:334,0.02,-0.01,-1.03,0.59,-255.20,-78.90,-91.70,163.06
20:14:02:888,0.02,-0.01,-0.99,0.57,-256.60,-78.60,-91.50,163.70
20:14:03:442,0.03,-0.01,-1.02,0.59,-254.90,-79.20,-91.40,162.89
20:14:03:996,0.01,-0.01,-0.96,0.56,-255.30,-79.70,-90.70,163.05
20:14:04:550,0.02,-0.01,-0.95,0.55,-255.30,-80.60,-92.70,163.57
20:14:05:104,0.03,-0.01,-1.03,0.59,-255.10,-78.90,-89.60,162.61
20:14:05:658,0.02,-0.01,-0.98,0.57,-255.50,-78.70,-90.90,163.03
20:14:06:215,0.02,-0.01,-1.00,0.58,-256.40,-79.40,-89.70,163.39
20:14:06:766,0.02,-0.01,-1.00,0.57,-255.60,-79.50,-91.30,163.29
20:14:07:320,0.02,-0.01,-0.99,0.57,-255.30,-79.30,-92.00,163.23
20:14:07:874,0.02,-0.01,-0.99,0.57,-255.60,-79.60,-89.90,163.04
20:14:08:428,0.02,-0.01,-0.99,0.57,-256.80,-80.20,-89.90,163.77
20:14:08:982,0.02,-0.01,-0.99,0.57,-256.10,-79.00,-92.10,163.62
20:14:09:536,0.02,-0.01,-1.00,0.57,-257.70,-79.00,-92.90,164.60
20:14:10:090,0.02,-0.01,-0.99,0.57,-256.00,-78.60,-93.20,163.71
20:14:10:644,0.02,-0.02,-0.99,0.57,-255.60,-80.10,-92.10,163.53
20:14:11:198,0.02,-0.01,-0.99,0.57,-255.80,-79.30,-91.00,163.30
20:14:11:752,0.03,-0.01,-0.99,0.57,-254.90,-80.50,-93.60,163.52
20:14:12:306,0.03,-0.02,-0.99,0.57,-256.10,-79.40,-90.10,163.31
20:14:12:860,0.03,-0.01,-1.00,0.58,-255.40,-79.20,-92.60,163.38
20:14:13:414,0.02,-0.01,-0.99,0.57,-255.60,-79.70,-92.70,163.58
20:14:13:968,0.03,-0.01,-1.00,0.58,-256.10,-78.70,-92.00,163.55
20:14:14:522,0.02,-0.01,-0.99,0.57,-255.80,-79.80,-93.30,163.82
20:14:15:076,0.02,-0.01,-0.99,0.57,-254.20,-81.20,-93.10,163.18
20:14:15:630,0.02,-0.01,-1.00,0.58,-256.60,-78.90,-92.20,163.88
20:14:16:184,0.02,-0.00,-0.99,0.57,-254.30,-79.60,-91.00,162.57
20:14:16:739,0.03,-0.01,-1.00,0.58,-255.00,-78.80,-90.60,162.73
20:14:17:292,0.02,-0.01,-0.99,0.57,-254.40,-79.10,-90.10,162.37
20:14:17:846,0.02,-0.02,-0.99,0.57,-255.30,-79.80,-91.30,163.18
20:14:18:400,0.02,-0.01,-0.99,0.57,-256.30,-78.90,-91.40,163.57
20:14:18:955,0.02,-0.01,-1.00,0.58,-255.30,-79.40,-90.50,162.96
20:14:19:508,0.02,-0.01,-1.00,0.57,-254.70,-79.40,-94.30,163.37
20:14:20:062,0.03,-0.01,-0.99,0.57,-256.20,-78.10,-91.20,163.36
20:14:20:616,0.03,-0.01,-1.00,0.58,-256.20,-80.10,-93.30,164.07
20:14:21:170,0.02,-0.02,-0.99,0.57,-255.30,-79.40,-92.40,163.32
20:14:21:724,0.02,-0.01,-0.99,0.57,-257.10,-79.20,-93.90,164.51
20:14:22:278,0.03,-0.01,-0.99,0.57,-255.90,-78.90,-92.40,163.55
20:14:22:832,0.02,-0.01,-0.99,0.57,-256.30,-79.90,-90.90,163.64
20:14:23:386,0.02,-0.01,-0.99,0.57,-254.90,-78.80,-92.10,162.96
20:14:23:940,0.02,-0.02,-0.99,0.57,-254.50,-78.10,-90.50,162.34
20:14:24:494,0.02,-0.01,-0.99,0.57,-254.20,-79.00,-90.30,162.29
20:14:25:048,0.02,-0.01,-1.00,0.58,-256.80,-79.50,-91.80,164.01
20:14:25:602,0.02,-0.01,-1.00,0.58,-255.00,-80.10,-92.30,163.26
20:14:26:156,0.02,-0.01,-0.99,0.57,-256.30,-78.70,-92.20,163.69
20:14:26:710,0.02,-0.01,-1.00,0.58,-255.50,-79.90,-92.50,163.52
20:14:27:264,0.03,-0.01,-0.99,0.57,-256.30,-79.20,-92.80,163.88
20:14:27:818,0.02,-0.01,-0.99,0.57,-254.60,-77.80,-91.40,162.51
20:14:28:372,0.02,-0.01,-1.00,0.57,-256.40,-79.60,-91.90,163.83
20:14:28:926,0.02,-0.01,-1.00,0.58,-256.20,-79.60,-92.10,163.77
20:14:29:480,0.02,-0.01,-0.99,0.57,-256.30,-79.80,-93.70,164.15
20:14:30:034,0.02,-0.02,-1.00,0.58,-256.40,-78.70,-91.60,163.63
20:14:30:588,0.03,-0.01,-1.00,0.58,-256.30,-78.70,-90.20,163.32
20:14:31:142,0.02,-0.01,-0.99,0.57,-256.10,-79.00,-91.80,163.56
20:14:31:696,0.02,-0.01,-0.99,0.57,-257.00,-80.00,-92.90,164.40
20:14:32:250,0.02,-0.01,-0.99,0.57,-254.90,-80.10,-90.20,162.81
20:14:32:804,0.02,-0.01,-0.99,0.57,-255.10,-78.00,-93.30,163.16
20:14:33:358,0.02,-0.02,-1.00,0.58,-254.60,-78.90,-92.90,162.97
20:14:33:912,0.02,-0.01,-1.00,0.58,-256.20,-79.10,-92.00,163.67
20:14:34:466,0.02,-0.01,-0.99,0.57,-256.00,-80.00,-90.70,163.47
20:14:35:020,0.02,-0.01,-1.00,0.58,-255.10,-79.90,-91.30,163.09
20:14:35:574,0.02,-0.01,-0.99,0.57,-255.00,-79.60,-91.60,163.05
20:14:36:128,0.02,-0.01,-1.00,0.58,-256.30,-79.10,-92.40,163.79
20:14:36:682,0.02,-0.01,-0.99,0.57,-255.60,-78.50,-91.20,163.11
20:14:37:236,0.02,-0.01,-1.00,0.58,-254.70,-79.00,-90.90,162.66
20:14:37:790,0.03,-0.01,-1.00,0.58,-255.50,-79.90,-92.10,163.45
20:14:38:344,0.02,-0.01,-0.99,0.57,-253.10,-78.20,-91.50,161.81
20:14:38:898,0.02,-0.01,-1.00,0.58,-255.10,-78.10,-93.00,163.12
20:14:39:452,0.02,-0.01,-1.00,0.58,-256.60,-79.50,-92.20,163.98
20:14:40:006,0.02,-0.02,-1.00,0.58,-255.30,-79.10,-91.80,163.16
20:14:40:560,0.02,-0.02,-1.00,0.58,-256.00,-79.50,-92.40,163.70
20:14:41:114,0.02,-0.01,-0.99,0.57,-254.80,-79.70,-91.40,162.92
20:14:41:668,0.03,-0.01,-1.00,0.58,-254.10,-79.20,-92.00,162.59
20:14:42:225,0.02,-0.01,-0.99,0.57,-255.60,-80.00,-90.40,163.20
20:14:42:776,0.02,-0.01,-0.99,0.57,-255.20,-79.20,-90.60,162.90
20:14:43:330,0.02,-0.02,-1.00,0.58,-256.90,-78.20,-92.50,163.98
20:14:43:884,0.03,-0.01,-0.99,0.57,-255.00,-78.40,-93.50,163.21
20:14:44:438,0.02,-0.01,-1.00,0.58,-255.50,-80.00,-92.40,163.52
20:14:44:992,0.02,-0.01,-0.99,0.57,-254.70,-78.50,-92.00,162.79
20:14:45:546,0.02,-0.02,-1.00,0.58,-255.20,-79.10,-90.50,162.86
20:14:46:100,0.02,-0.01,-0.99,0.57,-255.20,-79.00,-93.00,163.32
20:14:46:655,0.02,-0.02,-0.99,0.57,-255.00,-79.50,-91.90,163.09
20:14:47:208,0.03,-0.01,-0.99,0.57,-254.40,-79.30,-90.40,162.46
20:14:47:762,0.02,-0.01,-0.99,0.57,-254.80,-78.40,-93.90,163.18
20:14:48:316,0.02,-0.01,-0.99,0.57,-256.20,-79.90,-94.20,164.21
20:14:48:870,0.02,-0.01,-0.99,0.57,-255.10,-79.90,-92.80,163.37
20:14:49:424,0.02,-0.01,-1.00,0.58,-256.20,-79.70,-94.10,164.16
20:14:49:978,0.02,-0.01,-1.00,0.58,-254.30,-78.00,-91.40,162.38
20:14:50:532,0.02,-0.01,-0.99,0.57,-255.00,-80.30,-90.40,162.94
20:14:51:086,0.02,-0.01,-1.00,0.58,-253.40,-79.60,-93.60,162.59
20:14:51:640,0.03,-0.01,-0.99,0.57,-256.30,-79.70,-91.40,163.70
20:14:52:194,0.02,-0.02,-1.00,0.57,-254.60,-80.70,-91.60,163.02
20:14:52:750,0.03,-0.01,-1.01,0.58,-255.00,-80.10,-92.40,163.28
20:14:53:302,0.02,-0.01,-0.99,0.57,-254.30,-80.20,-91.60,162.78
20:14:53:856,0.02,-0.01,-1.00,0.58,-254.60,-80.80,-93.30,163.36
20:14:54:410,0.03,-0.01,-0.99,0.57,-255.40,-80.30,-93.30,163.69
20:14:54:964,0.02,-0.01,-1.00,0.58,-256.30,-79.20,-93.00,163.92
20:14:55:518,0.03,-0.01,-0.99,0.57,-255.40,-80.70,-93.40,163.77
20:14:56:072,0.03,-0.01,-0.99,0.57,-256.50,-78.70,-94.10,164.16
20:14:56:626,0.02,-0.02,-0.99,0.57,-255.00,-79.10,-92.60,163.15
20:14:57:180,0.02,-0.01,-1.00,0.58,-254.70,-80.40,-94.20,163.51
20:14:57:734,0.02,-0.01,-1.00,0.58,-256.60,-77.80,-93.40,163.93
20:14:58:288,0.02,-0.01,-1.00,0.57,-254.70,-79.00,-92.60,162.98
20:14:58:842,0.02,-0.02,-1.00,0.58,-255.70,-78.40,-93.40,163.56
20:14:59:396,0.02,-0.01,-0.99,0.57,-255.80,-79.20,-91.70,163.42
20:14:59:950,0.02,-0.01,-1.00,0.58,-254.90,-78.60,-90.50,162.63
20:15:00:504,0.02,-0.01,-0.99,0.57,-254.70,-80.70,-94.70,163.66
20:15:01:074,0.02,-0.01,-1.00,0.57,-255.60,-79.10,-92.20,163.39
20:15:01:612,0.02,-0.01,-0.99,0.57,-255.20,-79.70,-92.80,163.39
20:15:02:166,0.02,-0.01,-0.99,0.57,-253.60,-78.90,-94.90,162.83
20:15:02:720,0.02,-0.01,-0.99,0.57,-255.10,-79.70,-91.10,163.02
20:15:03:277,0.02,-0.01,-0.99,0.57,-255.90,-78.50,-92.20,163.45
20:15:03:828,0.02,-0.01,-0.99,0.57,-255.10,-81.00,-93.30,163.65
20:15:04:382,0.02,-0.02,-1.00,0.58,-256.20,-79.30,-92.20,163.74
20:15:04:936,0.02,-0.01,-0.99,0.57,-255.40,-78.50,-90.50,162.87
20:15:05:490,0.02,-0.01,-1.00,0.58,-256.00,-80.00,-93.60,164.01
20:15:06:044,0.02,-0.01,-0.99,0.57,-255.40,-78.20,-92.60,163.22
20:15:06:598,0.02,-0.01,-0.99,0.57,-255.20,-79.10,-91.80,163.11
20:15:07:152,0.02,-0.01,-1.00,0.58,-254.80,-79.60,-92.10,163.04
20:15:07:706,0.02,-0.01,-0.99,0.57,-255.70,-78.90,-90.80,163.15
20:15:08:260,0.02,-0.01,-1.00,0.58,-256.30,-78.90,-92.50,163.78
20:15:08:814,0.02,-0.01,-0.98,0.57,-256.50,-79.20,-93.70,164.16
20:15:09:368,0.02,-0.01,-0.99,0.57,-255.50,-79.70,-92.50,163.49
20:15:09:922,0.02,-0.02,-1.01,0.58,-254.80,-79.30,-91.10,162.80
20:15:10:476,0.03,-0.02,-1.00,0.58,-255.90,-80.70,-91.20,163.62
20:15:11:030,0.02,-0.01,-1.00,0.58,-255.50,-78.70,-91.80,163.20
20:15:11:584,0.03,-0.01,-0.99,0.57,-255.30,-79.30,-92.50,163.32
20:15:12:138,0.02,-0.01,-1.00,0.58,-255.10,-79.50,-89.90,162.77
20:15:12:692,0.02,-0.01,-1.00,0.58,-254.60,-79.50,-92.00,162.90
20:15:13:246,0.02,-0.01,-0.98,0.57,-255.50,-79.60,-92.20,163.42
20:15:13:800,0.02,-0.01,-0.99,0.57,-255.80,-80.40,-91.70,163.61
20:15:14:355,0.02,-0.01,-0.99,0.57,-255.30,-77.90,-91.70,162.95
20:15:14:908,0.02,-0.01,-0.99,0.57,-254.60,-79.10,-92.30,162.89
20:15:15:462,0.03,-0.01,-1.00,0.58,-255.60,-78.20,-92.50,163.30
20:15:16:016,0.02,-0.01,-0.99,0.57,-255.60,-80.40,-92.20,163.60
20:15:16:570,0.02,-0.02,-0.99,0.57,-255.40,-79.70,-92.70,163.48
20:15:17:124,0.02,-0.01,-0.99,0.57,-254.00,-79.20,-93.50,162.82
20:15:17:678,0.03,-0.01,-0.99,0.57,-255.40,-80.10,-92.90,163.58
20:15:18:232,0.03,-0.01,-0.99,0.57,-256.30,-79.30,-92.50,163.84
20:15:18:786,0.02,-0.01,-1.01,0.58,-254.10,-80.80,-93.60,163.15
20:15:19:340,0.02,-0.01,-0.99,0.57,-257.10,-79.80,-92.50,164.34
20:15:19:894,0.02,-0.01,-0.99,0.57,-257.00,-77.90,-93.20,164.12
20:15:20:448,0.03,-0.01,-1.00,0.58,-254.50,-79.60,-91.50,162.77
20:15:21:002,0.02,-0.01,-1.00,0.58,-255.60,-78.00,-93.20,163.40
20:15:21:556,0.02,-0.01,-1.00,0.58,-254.60,-79.00,-93.00,163.00
20:15:22:110,0.02,-0.01,-0.99,0.57,-257.90,-79.30,-92.60,164.70
20:15:22:664,0.02,-0.01,-1.00,0.58,-256.30,-79.30,-92.10,163.77
20:15:23:218,0.02,-0.01,-0.99,0.57,-255.30,-79.20,-92.60,163.33
20:15:23:772,0.02,-0.01,-0.99,0.57,-255.50,-79.30,-91.00,163.15
20:15:24:326,0.02,-0.01,-0.98,0.57,-256.50,-78.90,-91.10,163.62
20:15:24:881,0.02,-0.01,-0.99,0.57,-253.80,-78.60,-94.00,162.71
20:15:25:434,0.02,-0.01,-1.00,0.58,-256.00,-79.30,-93.70,163.91
20:15:25:988,0.03,-0.01,-0.99,0.57,-254.80,-78.50,-93.70,163.16
20:15:26:543,0.02,-0.01,-1.00,0.58,-254.80,-79.90,-92.00,163.07
20:15:27:096,0.02,-0.02,-0.99,0.57,-255.30,-79.90,-93.20,163.55
20:15:27:651,0.02,-0.01,-0.99,0.57,-255.40,-79.10,-92.70,163.38
20:15:28:205,0.02,-0.01,-1.00,0.57,-256.20,-80.60,-91.60,163.83
20:15:28:758,0.02,-0.01,-1.01,0.58,-256.10,-79.80,-91.10,163.56
20:15:29:313,0.03,-0.01,-1.00,0.58,-255.60,-78.70,-92.70,163.42
20:15:29:867,0.03,-0.01,-0.99,0.57,-255.20,-81.60,-94.20,163.97
20:15:30:421,0.02,-0.01,-0.99,0.57,-255.80,-79.70,-91.60,163.48
20:15:30:975,0.02,-0.01,-0.99,0.57,-255.50,-78.70,-88.40,162.57
20:15:31:528,0.02,-0.01,-1.00,0.58,-256.00,-78.80,-90.40,163.22
20:15:32:083,0.02,-0.01,-0.99,0.57,-256.80,-80.90,-89.50,163.81
20:15:32:637,0.02,-0.01,-1.00,0.58,-254.80,-79.30,-91.90,162.95
20:15:33:191,0.02,-0.01,-0.99,0.57,-256.20,-79.10,-90.70,163.42
20:15:33:745,0.02,-0.01,-1.00,0.58,-256.10,-80.40,-92.20,163.86
20:15:34:299,0.02,-0.01,-1.00,0.57,-256.60,-79.70,-92.00,163.97
20:15:34:853,0.02,-0.01,-1.00,0.58,-254.80,-78.00,-91.60,162.68
20:15:35:407,0.02,-0.01,-0.99,0.57,-256.90,-79.20,-93.00,164.23
20:15:35:961,0.02,-0.02,-1.00,0.58,-255.10,-79.00,-90.40,162.78
20:15:36:515,0.02,-0.01,-1.00,0.58,-252.20,-77.60,-90.30,161.02
20:15:37:069,0.02,-0.01,-0.99,0.57,-254.10,-79.50,-93.00,162.83
20:15:37:623,0.02,-0.01,-1.00,0.57,-255.30,-80.10,-92.30,163.42
20:15:38:177,0.02,-0.01,-1.00,0.58,-254.90,-80.50,-93.50,163.50
20:15:38:731,0.02,-0.01,-0.99,0.57,-255.70,-78.80,-92.20,163.39
20:15:39:288,0.03,-0.01,-1.01,0.58,-256.00,-80.20,-92.30,163.80
20:15:39:839,0.02,-0.01,-0.99,0.57,-254.70,-78.50,-91.30,162.66
20:15:40:393,0.02,-0.01,-0.99,0.57,-255.90,-79.80,-91.00,163.44
20:15:40:947,0.02,-0.01,-1.01,0.58,-255.40,-79.10,-93.60,163.55
20:15:41:501,0.03,-0.01,-1.00,0.58,-255.20,-79.80,-92.00,163.26
20:15:42:055,0.02,-0.01,-0.99,0.57,-254.60,-78.90,-90.70,162.56
20:15:42:609,0.03,-0.01,-1.00,0.58,-255.30,-79.60,-92.70,163.41
20:15:43:163,0.02,-0.01,-1.00,0.58,-256.20,-80.70,-92.30,163.98
20:15:43:717,0.02,-0.01,-0.99,0.57,-256.10,-79.70,-91.60,163.64
20:15:44:271,0.02,-0.01,-1.00,0.58,-255.50,-79.00,-92.30,163.34
20:15:44:825,0.02,-0.01,-0.99,0.57,-256.00,-79.20,-93.00,163.77
20:15:45:379,0.02,-0.01,-0.99,0.57,-255.10,-79.40,-91.90,163.12
20:15:45:933,0.02,-0.01,-0.99,0.57,-255.90,-79.20,-91.10,163.36
20:15:46:487,0.02,-0.01,-0.98,0.57,-255.70,-80.30,-92.30,163.66
20:15:47:041,0.02,-0.01,-1.00,0.57,-254.20,-79.90,-92.40,162.83
20:15:47:595,0.02,-0.01,-1.00,0.57,-254.40,-79.60,-90.90,162.60
20:15:48:149,0.02,-0.01,-0.99,0.57,-256.40,-79.00,-91.60,163.68
20:15:48:703,0.02,-0.01,-0.99,0.57,-254.50,-79.20,-92.00,162.80
20:15:49:257,0.02,-0.01,-0.99,0.57,-254.90,-78.40,-92.30,162.93
20:15:49:814,0.02,-0.00,-1.00,0.58,-254.70,-77.90,-91.10,162.52
20:15:50:365,0.02,-0.01,-1.00,0.58,-255.70,-79.30,-91.10,163.27
20:15:50:919,0.02,-0.01,-0.99,0.57,-255.40,-78.40,-91.70,163.08
20:15:51:473,0.03,-0.01,-1.00,0.58,-254.80,-78.40,-89.00,162.27
20:15:52:027,0.02,-0.01,-1.02,0.59,-256.80,-79.40,-92.20,164.06
20:15:52:581,0.02,-0.01,-1.00,0.57,-254.70,-80.00,-91.60,162.95
20:15:53:135,0.03,-0.01,-1.00,0.58,-255.80,-79.30,-94.30,163.93
20:15:53:689,0.03,-0.01,-0.99,0.57,-255.20,-79.70,-91.40,163.13
